name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
Biggies Burger 'n' More,Yes,No,3.8,208,BTM,"Burgers, Fries, Hot Dog, Chicken Hotdog, Cuban Mojito, Cheese Burger, Grilled Burger","Cafe, Burger, Fast Food",400
The Pizzeria,Yes,No,2.8,45,Banashankari,Pesto Pizza,"Pizza, Italian, Salad",800
Aalishan Restaurant & Caterer,Yes,No,3.5,888,Koramangala 7th Block,"Rolls, Tandoori Murgh Masala, Legendary Arsalan, Firni, Phirni, Mutton Biryani, Chicken Roll","North Indian, Mughlai",650
Little Cafe,Yes,No,3.7,54,Basavanagudi,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread","Cafe, Beverages",600
Aami Bangali,Yes,No,3.6,68,Koramangala 5th Block,"Basanti Pulao, Fish, Aloo Posto, Thali",Bengali,700
Tempteys,Yes,No,4.2,249,BTM,"Thick Shakes, Oreo Milkshake, Gelato, Oreo Shake, Choco Brownie, Caramel Coffee, Choco Shake",Beverages,500
Salut,Yes,Yes,4.1,446,Jayanagar,"Pesto Pizza, Buffalo Wings, Cocktails, Beer, Egg Ghee Roast, Chicken Chips, Brownie","Continental, Finger Food, Seafood, Pizza",1200
Bangaliana,Yes,No,3.9,453,Koramangala 7th Block,"Sea Food, Bhetki Paturi, Chicken Dak Bunglow, Prawn, Rasgulla, Potato Curry, Mishti Doi",Bengali,600
Desipun,Yes,Yes,4.2,344,Koramangala 5th Block,"Paneer Tikka Masala, Buttermilk, Lassi, Soya Chaap, Aloo Paratha, Panneer Butter Masala, Stuffed Naan",North Indian,700
Thyme & Whisk,Yes,No,3.9,74,Jayanagar,"Pizza, Momos, Pasta, Brownie, Nachos, Hot Chocolate, Waffles","Asian, Chinese, Continental, Italian",800
Shake It Off,Yes,No,4.4,658,Jayanagar,"Paneer Sandwich, Sandwiches, Burgers, Momos, Maggi, Ferrero Rocher Shake, Thick Shakes","Beverages, Fast Food",600
Cafe Ajfan,Yes,No,4.2,265,Jayanagar,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Fries, Calzone","Cafe, Continental, Beverages",700
Fillers,Yes,No,3.9,138,BTM,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal","North Indian, Fast Food",300
The Foodyz,Yes,No,3.7,43,JP Nagar,"Poha, Tea, Paratha","North Indian, Chinese",500
Curry Leaves,Yes,No,4.1,176,Basavanagudi,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani","Andhra, North Indian, Chinese",800
I Cool,Yes,No,4.0,77,JP Nagar,Shawarma,"Juices, Fast Food",150
Udupi Thaja Thindi,Yes,No,2.9,42,BTM,"Masala Dosa, Vada, Filter Coffee","North Indian, South Indian, Chinese, Fast Food",250
Paratha Plaza,Yes,No,3.8,171,JP Nagar,"Aloo Paratha, Manchurian",North Indian,250
Kailash Parbat,No,No,3.9,77,Jayanagar,"Chaat, Bombay Bhel, Pav Bhaji, Ragda Pattis","South Indian, Chinese, North Indian",1200
Ruchis Point,Yes,No,3.8,75,Banashankari,"Sandwiches, Noodles, Sandwich","Fast Food, Chinese",200
Funky Punjab,Yes,No,3.9,410,JP Nagar,"Lassi, Chole, Palak Paneer, Chaap, Paneer Tikka, Panneer Butter Masala, Paratha","North Indian, Chinese",500
Mudpipe Cafe,Yes,Yes,4.5,1878,BTM,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900
Black Deer,Yes,No,4.4,149,Koramangala 5th Block,"Chocolate Fudge, Chocolate Shake, Bubble Gum Shake, Hot Chocolate, Belgian Waffles, Mango Milkshake","Beverages, Desserts",350
Crawl Street,Yes,Yes,4.3,2565,Koramangala 5th Block,"Biryani, Cocktails, Pasta, Peri Peri Chicken, Mocktails, Paneer Tikka Masala, Pizza","Continental, Finger Food, North Indian, Chinese",1200
Enerjuvate Studio & Cafe,No,Yes,4.2,738,Jayanagar,"Pizza, Vegetarian, Momo Platter, Momos, Nachos, Salsa, Salad","Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800
Fava Bistro,Yes,Yes,4.4,385,Koramangala 5th Block,"Pizza, Pita Bread, Beer Cocktail, Baklava, Shrimp Soup, Pasta, Babaganush","Mediterranean, Pizza, Italian, Beverages",1500
Chaska Bun,Yes,No,4.2,166,Koramangala 5th Block,"Ginger Tea, Chai, Samosa, Bun Omelette, Elaichi Tea, Egg Bhurji, Carrot Cake",Fast Food,300
Udupi Grand,Yes,No,3.8,76,Basavanagudi,"Coffee, Masala Dosa, Vegetable Biryani","South Indian, North Indian, Chinese",300
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,"Masala Dosa, Coffee","South Indian, Chinese, Street Food, Juices",500
The Krishna Grand Xpress,Yes,No,4.0,137,Jayanagar,"Vada, Masala Dosa, Idli","South Indian, Fast Food",350
Tunday Kababi,Yes,No,3.9,1139,Koramangala 5th Block,"Biryani, Galauti Kebab, Tandoori Chicken, Phirni, Tundey Paratha, Rolls, Rumali Roti","North Indian, Kebab",500
The Marash,Yes,No,4.3,64,Koramangala 5th Block,"Turkish Ice Cream, Baklava, Chocolate Icecreams","Turkish, Desserts",250
On The Nose,Yes,No,3.8,614,BTM,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600
City Durbar,Yes,No,3.7,72,Jayanagar,"Chicken Grill, Ghee Rice","North Indian, Chinese, Biryani",450
World of Waffles,Yes,No,3.9,181,JP Nagar,"Waffles, Nutella Pancakes, Nutella Waffle, Mexican Fries, Chocolate Fondue, Chocolate Overload, Ferrero Rocher",Desserts,400
Punjab Bistro,Yes,Yes,4.4,456,Koramangala 7th Block,"Chicken Shorba, Paneer Tikka Masala, Jumbo Prawns, Beer, Cocktails, Butter Naan, Paan Shot",North Indian,1500
Woodee Pizza,Yes,No,2.7,85,JP Nagar,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500
Sagar Fast Food,Yes,No,4.0,76,Koramangala 3rd Block,"Tea, Coffee, Neer Dosa, Gajar Ka Halwa, Thali, Chaat, Cheese Dosa","South Indian, North Indian, Fast Food",300
Ragoo's,Yes,No,3.9,234,Jayanagar,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli","Italian, Pizza, North Indian, Salad",800
Drunkling - Sizzlers and Pub,Yes,Yes,4.4,344,Koramangala 5th Block,"Beef Steak, Cocktails, Mojito, Paneer Ke Sholay, Caramel Custard, Prawn Ghee Roast, Beer","Chinese, Continental, North Indian, Burger, Pizza, Seafood",1000
InnerChef,Yes,No,3.9,152,Koramangala 7th Block,"Pasta, Salads, Chole, Butter Chicken, Brownie, Butter Cookies, Sandwiches","North Indian, Continental",500
Maria's Goan Kitchen,Yes,No,3.9,392,Koramangala 7th Block,"Goan Thali, Sol Kadhi, Prawn, Pork Vindaloo, Plain Rice, Fish, Beef Fry","Goan, Chinese, Biryani",750
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",Fast Food,200
Vinaya Cafe,Yes,No,3.7,55,JP Nagar,"Coffee, Masala Dosa","South Indian, Street Food, Juices",200
Cafe Cosy,No,Yes,4.1,114,Jayanagar,"Pasta, Pizza, Mocktails, Jalapeno Poppers","Cafe, Chinese, Continental, Fast Food",800
Watson's,Yes,Yes,4.0,1017,JP Nagar,"Beer, Pizza, Veg Starter, Martini, Mojito, Cocktails, Crispy Corn","Finger Food, Chinese, Continental",1300
Kirthi's Biryani,Yes,No,3.8,145,Banashankari,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
Brew Meister,Yes,Yes,4.1,975,Jayanagar,"Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav","North Indian, Continental, Finger Food, American, Asian",1500
Drunken Monkey,Yes,No,4.2,116,BTM,"Sandwiches, Fruit Juices, French Fries, Irish Coffee","Beverages, Fast Food",400
Yummy Biryani,Yes,No,3.8,41,Koramangala 7th Block,"Biryani, Paratha, Chicken Masala, Kerala Parotta",Biryani,200
Cafe Mondo,Yes,No,3.7,514,Basavanagudi,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600
Mockaholic Restro Beer Cafe,Yes,No,3.9,919,JP Nagar,"Beer, Momos, Pizza, Coffee, Dragon Chicken, Hot Pot, Mocktails","North Indian, Chinese, Pizza, BBQ",1000
SGS Non Veg - Gundu Pulav,Yes,No,3.6,68,Jayanagar,Biryani,"Biryani, Fast Food",400
Crafted Plate,Yes,Yes,4.2,239,JP Nagar,"Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600
3 Spice,Yes,No,3.9,157,Wilson Garden,"Manchow Soup, Shawarma, Momos, Hyderabadi Biryani, Vegetarian, Noodles, Dragon Chicken","North Indian, Chinese",450
Smoke - The Sizzler House,Yes,Yes,4.0,1384,Koramangala 7th Block,"Butter Garlic Prawns, Mocktails, Noodles, Salads, Brownie, Pasta Sizzler, Chicken Steak","Continental, Chinese, Thai, Italian, BBQ, Steak",1100
Paratha Junction,Yes,No,3.3,397,Jayanagar,Paratha,"North Indian, Chinese",300
Ruh's Cafe,Yes,No,4.1,464,BTM,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500
Vyanjan,Yes,No,3.9,203,BTM,"Poha, Jalebi, Paratha, Bhindi Masala, Kachori, Puri Sabzi, Samosa","North Indian, Street Food",300
Hang10 Resto N Cafe,Yes,No,3.8,100,BTM,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich","Cafe, North Indian, Chinese",700
Mr. Beans - Home Cafe,Yes,Yes,4.2,2710,Koramangala 3rd Block,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian",1000
Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,Waffles,"Fast Food, Desserts, Ice Cream",400
Mug N Bean,Yes,No,3.9,247,Jayanagar,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400
Chung Wah Opus,Yes,No,3.0,57,JP Nagar,"Rice, Noodles, Chop Suey","Chinese, Thai",650
Cafe Medley,Yes,No,4.2,1061,Koramangala 5th Block,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800
Sonar Bangala,Yes,No,3.8,76,Koramangala 5th Block,"Kosha Mangsho, Daab Chingri, Fish Curry, Dum Biryani","Bengali, North Indian",500
Pappu Da Dhaba,Yes,No,3.0,57,Jayanagar,"Lassi, Chai, Paratha","North Indian, Fast Food, Beverages, Momos",400
The Ganache Factory,No,No,4.2,128,Jayanagar,"Red Velvet, Lime Pie, Nutella Cheesecake, Blueberry Cheesecake, Salted Caramel Brownie, Dessert Jar","Desserts, Bakery",400
Bathinda Junction,Yes,Yes,4.1,1244,Koramangala 5th Block,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani",North Indian,600
Caffe Pascucci,Yes,Yes,4.0,791,JP Nagar,"Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas","Continental, Italian, Beverages",1300
Pop Hop,Yes,No,4.1,205,Jayanagar,"Choco Hazelnut, Belgian Chocolate, Strawberry Sorbet, Mango Sorbet, Mango Cheesecake, Mojito, Belgium Chocolate","Ice Cream, Desserts",300
High n Hungry,Yes,No,2.9,95,BTM,"Burgers, Pasta","North Indian, South Indian, Chinese, Fast Food",700
Meghana Foods,Yes,No,4.4,7220,Koramangala 5th Block,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food","Biryani, Seafood, Andhra, North Indian",600
Aramane Donne Briyani,Yes,No,3.9,339,JP Nagar,Chicken Kebab,"Biryani, Fast Food",300
Taj Darbar,Yes,No,3.8,149,Koramangala 5th Block,"Chicken Kebab Biryani, Rolls, Raita","Biryani, Mughlai, Chinese",600
1441 Pizzeria,Yes,No,4.1,140,JP Nagar,"Hot Chocolate, Masala Lemonade, Gourmet Pizza, Nutella Pizza, Jalapeno Poppers, Thin Crust Pizza, Wood Fire Pizza","Pizza, Salad",800
The Airos,Yes,No,4.1,130,Jayanagar,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650
Woody's,Yes,No,2.6,208,JP Nagar,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa","Chinese, South Indian, North Indian",650
Cafe D'hide,Yes,Yes,4.2,869,Koramangala 5th Block,"Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads","Cafe, American, Continental, Italian",600
Sea Spice by 7 Star,Yes,Yes,4.0,350,Banashankari,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200
Maiyas,Yes,No,4.0,1782,Jayanagar,"Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath","North Indian, South Indian, Fast Food, Juices",200
Meenu Oota Da Maane,Yes,Yes,4.2,294,Koramangala 5th Block,"Sea Food, Neer Dosa, Fish Curry, Chicken Thali, Crab Ghee Roast, Squid Ghee Roast, Murgh Ghee Roast","Seafood, Mangalorean, Chinese",800
Potato Bae,Yes,No,4.1,56,Koramangala 5th Block,"Pizza Fries, Almond Shake",Fast Food,500
Alankrutha,Yes,No,3.9,257,BTM,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani","Andhra, Biryani, North Indian, Chinese",500
Gokul Veg,Yes,No,3.8,469,Basavanagudi,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750
Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4.0,150,Koramangala 2nd Block,"Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1100
Mountain Spice,Yes,No,3.9,187,Koramangala 8th Block,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa","Chinese, Nepalese, Tibetan, Momos",400
Prems Graama Bhojanam,Yes,No,4.3,326,Jayanagar,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",South Indian,400
La Casa,No,Yes,3.6,570,Jayanagar,"Beer, Pasta, Burgers, Biryani, Masala Peanuts, Noodles, Au Gratin","Continental, Italian, Chinese, North Indian",800
Chaitanya Cafe,Yes,No,3.9,92,JP Nagar,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar","South Indian, North Indian, Fast Food",300
Szechuan Dragon,Yes,No,4.2,1654,Banashankari,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600
Cafe Vivacity,Yes,No,3.8,90,Banashankari,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650
By 2 Coffee,Yes,No,4.3,319,Basavanagudi,"Kharabath, Filter Coffee, Idli Vada, Crispy Vada, Kesari Bath, Hot Coffee, Tea",South Indian,100
Fiero! Pizzeria,Yes,No,4.0,62,Koramangala 6th Block,"Pizza, Ice Cream Roll","Italian, Fast Food, Pizza",400
Aramane Donne Biriyani,Yes,No,3.9,191,BTM,"Egg Biryani, Donne Biryani","Biryani, Fast Food",300
Chocoberry,Yes,No,3.5,56,Jayanagar,"Waffles, Cup Cake, Chocolate Cake","Ice Cream, Desserts, Beverages",400
Little Lucknow,Yes,Yes,4.0,235,Koramangala 5th Block,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken","Mughlai, North Indian",800
Java City,Yes,No,2.5,157,Jayanagar,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450
Laziz Pizza,Yes,No,3.8,42,Koramangala 7th Block,"Pizza, Peri Peri Fries, Veg Paprika","Fast Food, Burger, Pizza",400
Euki,Yes,Yes,4.1,553,Jayanagar,"Pasta, Pizza, Nachos, Tiramisu, Peri Peri Fries, Mexican Bowl, Mocktails","Italian, Mexican",900
Mini Punjabi Dhaba,Yes,No,4.2,296,Banashankari,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Veg Kolhapuri, Bhindi Fry",North Indian,350
Kalpavriksha Upahara,Yes,No,3.9,126,Jayanagar,Coffee,"South Indian, North Indian, Chinese",400
Bistro Oui,Yes,Yes,4.1,401,Koramangala 5th Block,"Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak",1200
Churchill's,Yes,Yes,4.1,1406,JP Nagar,"Cocktails, Pasta, Hara Bhara Kebab, Peppy Paneer, Paneer Pizza, Peri Peri Prawn, Fiery Paneer","North Indian, Continental",1100
The Jade Kitchen,Yes,No,4.0,118,JP Nagar,"Manchow Soup, Noodles, Dragon Rolls, Honey Chilli Potatoes, Spring Roll","Chinese, Thai",600
Andhra Ruchulu,Yes,Yes,4.2,1432,JP Nagar,"Paneer Tikka, Bhuna Gosht, Andhra Meal, Chicken Biryani, Chicken Guntur, Chicken Sholey Kebab, Andhra Biryani","Andhra, North Indian",800
BelgYum,Yes,No,4.0,70,Koramangala 7th Block,Waffles,Desserts,400
Burger Lounge,Yes,No,3.6,74,Koramangala 5th Block,"Burgers, Zinger Burger","Burger, Fast Food, Beverages",600
Mani's Dum Biryani,Yes,No,3.9,778,Koramangala 5th Block,"Kebab Biryani, Raita, Chicken Biryani, Vegetable Biryani, Basmati Rice, Hyderabadi Biryani, Dum Biryani","Biryani, Kebab",750
Rajanna Military Hotel,Yes,No,4.1,167,Jayanagar,"Biryani, Chicken Curry, Paya Soup, Paratha, Mutton Keema, Chicken Guntur, Pepper Chicken","Biryani, Fast Food",400
PHEW (Play Hard Eat Wild),Yes,Yes,3.9,488,BTM,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700
Uday Sweets,Yes,No,3.8,33,Koramangala 5th Block,"Samosa, Poha, Rasgulla, Kachori","Mithai, Fast Food",250
New Royal Treat,Yes,No,2.8,102,Bannerghatta Road,"Roti, Chicken Biryani","North Indian, Chinese",350
New Punjabi Hotel,Yes,No,3.7,179,BTM,"Tandoori Chicken, Butter Chicken, Tandoori Roti, Bhindi Masala, Paratha, Dal Makhani","North Indian, Chinese",400
TRIGEREATO,Yes,Yes,4.4,100,Koramangala 8th Block,"Pasta, Salad, Noodles, Mousse, Fries, Mocktails, Pizza","Cafe, Continental, Beverages",700
Shuddh Desi Khana,Yes,No,4.1,600,Bannerghatta Road,"Paratha, Chicken Kebab, Biryani, Lassi, Butter Chicken, Veg Kolhapuri, Pahari Chicken",North Indian,400
Baisakhi,Yes,No,3.8,528,Basavanagudi,"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala",North Indian,500
7 Plates,Yes,No,3.7,259,Koramangala 5th Block,"Butter Kulcha, Rolls, Brownie, Mutton Biryani, Butter Chicken, Shawarma, Rumali Roti","Mughlai, Fast Food",750
Haagen Dazs,Yes,No,3.9,77,Koramangala 7th Block,"Waffles, Chocolate Bomb, Belgium Chocolate, Chocolate Sundae, Chocolate Icecreams, Strawberry Cheesecake","Ice Cream, Desserts",800
The Blue Wagon - Kitchen,Yes,No,4.6,233,Jayanagar,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Cottage Cheese Sandwich, Bruschetta Bites","Cafe, Beverages",400
Amritsari Kulcha Land,Yes,No,4.0,260,JP Nagar,"Lassi, Amritsari Kulcha, Punjabi Kulcha, Paneer Kulcha, Punjabi Chole, Aloo Kulcha, Paratha",North Indian,300
Ivy,Yes,No,3.8,210,Kumaraswamy Layout,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken","North Indian, Chinese, Fast Food",600
1947,No,Yes,4.1,2312,Jayanagar,"Palak Paneer, Aam Panna, Crispy Corn, Gajar Ka Halwa, Panipuri, Kulfi, Salads","North Indian, Chinese",950
Lot Like Crepes,Yes,No,4.6,1024,Koramangala 7th Block,"Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550
New Friends,Yes,No,3.8,273,BTM,"Fritters, Lasagne, Biryani, Fish, Pasta, Draught Beer, Hot Pot","North Indian, Continental, Chinese, Steak",900
Funky Punjab,Yes,No,3.8,125,BTM,"Roti, Dal Makhani, Lassi, Panneer Butter Masala, Kulcha, Masala Papad, Butter Chicken","North Indian, Chinese",400
Harry's Bar + Cafe,Yes,Yes,4.2,1368,Koramangala 7th Block,"Cocktails, Beer, Onion Rings, Burgers, Margherita Pizza, Mocktails, Veg Nachos","Asian, American, Mexican",1400
Gyani Da Punjabi Dhaba,Yes,No,3.9,1189,BTM,"Lassi, Paratha, Paneer Parantha, Butter Chicken, Punjabi Chicken, Shahi Paneer, Chicken Kolhapuri","North Indian, Chinese",500
Kinpeetos,Yes,No,3.9,64,Koramangala 5th Block,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich","Lebanese, Greek",300
Hyderabad Biryaani House,Yes,No,4.1,1114,Koramangala 5th Block,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn","Biryani, North Indian, Chinese, Hyderabadi",750
Birinz,Yes,No,4.1,295,BTM,"Chicken Boneless Biryani, Hyderabadi Biryani, Egg Chilli, Butter Chicken, Tomato Soup, Mutton Biryani, Paneer Biryani","Biryani, Chinese, Mughlai, Fast Food, Kebab",700
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300
De Thaali,Yes,No,3.9,144,Jayanagar,"Malai Kofta, Sandwich, Naan","North Indian, Chinese",550
Arya Hungry?,Yes,No,4.3,278,Koramangala 7th Block,"Kulcha, Chole, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",North Indian,450
Ice Land,Yes,No,3.6,34,JP Nagar,"Prompt Service, Friendly Staff","Ice Cream, Desserts",300
D View Cafe,Yes,No,4.0,510,JP Nagar,"Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages",1000
The Trundle,Yes,No,3.7,133,Jayanagar,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup","Chinese, Thai, Continental, North Indian",700
Nandhini Deluxe,No,No,3.5,335,Jayanagar,"Hyderabadi Biryani, Veg Thali, Chicken Pepper Dry, Mutton Biryani, Chicken Guntur, Fish Fry, Beer",North Indian,600
Rajdhani Thali Restaurant,Yes,Yes,3.9,887,JP Nagar,"Thali, Kadhi, Malpua, Khichda, Dahi Vada, Dal Bati Churma, Rabri",North Indian,900
Kadala Tarangaa,Yes,No,3.6,130,Banashankari,"Sea Food, Neer Dosa","Mangalorean, Seafood, North Indian",600
Basmati Delights,Yes,No,4.0,869,BTM,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani","Biryani, Chinese, Mughlai, Fast Food, Kebab",500
Cucumber Town,Yes,No,4.2,310,BTM,"Appam, Chicken Biryani, Kizhi Biryani, Kuluki Sarbat, Panneer Butter Masala, Meen Pollichathu, Vellarikka Pattanam","Kerala, North Indian",600
Tree Top,Yes,No,3.8,75,Wilson Garden,Friendly Staff,"Continental, Chinese, North Indian, South Indian",1000
Cafe Aira,Yes,No,4.1,216,Basavanagudi,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500
Gramin,Yes,No,4.3,3451,Koramangala 7th Block,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",North Indian,600
A Hole Lotta Love Cafe,Yes,No,4.4,2862,Koramangala 5th Block,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta","Cafe, American, Burger, Sandwich, Beverages",600
Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4,677,Koramangala 7th Block,"Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani","North Indian, Mughlai, Biryani",1500
Mangalore Pearl,Yes,No,3.8,244,Jayanagar,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650
Karma Kaapi,Yes,No,4.4,181,Jayanagar,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250
Casa Piccosa,Yes,Yes,4.1,847,JP Nagar,"Cocktails, Cajun Chicken, Beer, Salads, Chilli Babycorn, Chicken Tacos, Murgh Platter","South American, Continental, Italian",1100
The Krishna Grand,Yes,No,3.9,892,Banashankari,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat","North Indian, South Indian, Chinese, Fast Food, Juices",750
Krazzy Folds,Yes,Yes,4.3,1908,Jayanagar,"Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros","Cafe, Continental, Sandwich, Beverages",800
Gud Dhani,Yes,No,4.0,827,BTM,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",Rajasthani,500
Nagarjuna Chimney,No,No,4.0,923,Jayanagar,"Chicken Biryani, Andhra Meal, Pepper Chicken, Andhra Thali, Chilli Chicken, Murgh Ghee Roast, Vegetable Biryani","Andhra, Biryani",600
Sreeraj Lassi Bar,Yes,No,4.1,210,Jayanagar,"Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi","Beverages, Desserts",150
Vietnamese Kitchen,Yes,No,3.6,104,Banashankari,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700
Asia Kitchen By Mainland China,Yes,Yes,4.9,2202,Koramangala 5th Block,"Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup, Chocolate Roll","Asian, Chinese, Thai, Momos",1500
Rajvardhan Foods,Yes,No,3.9,315,Jayanagar,"Vada Pav, Misal Pav, Sabudana Vada, Dabeli, Pav Bhaji, Sabudana Khichdi, Lassi","Street Food, Maharashtrian",300
