name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
Chatar Patar,No,No,3.7,65,Banashankari,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300
Polar Bear,Yes,No,3.8,71,Basavanagudi,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Rooftop Ambience,South Indian,300
Mane Thindi,No,No,3.7,130,Banashankari,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Cup Cake, Chocolate Cake",Bakery,400
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300
Anna Kuteera,Yes,No,4.0,771,Banashankari,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450
Darbar,No,No,3.0,98,Banashankari,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500
KFC,Yes,No,3.8,505,Banashankari,"Burgers, French Fries","Burger, Fast Food",450
Roll Over,Yes,No,4.1,438,Jayanagar,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750
Wahab,Yes,No,3.7,97,Jayanagar,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350
Canton,Yes,No,3.6,195,Jayanagar,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400
Patio 805,Yes,Yes,4.1,364,Jayanagar,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200
Lassi Corner,Yes,No,3.7,107,Basavanagudi,Lassi,"Beverages, Ice Cream",150
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300
Energy Addaa,Yes,No,4.2,64,Basavanagudi,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500
